bodyId,type,type_lab,cluster,function,reference
12687,DNge113,DNge113,3,,
12700,AN06B011,AN06B011,6,walking,Fujiwara 2022
12705,DNge123,DNge123,6,,
12707,DNpe043,DNpe043,10,,
12714,DNb07,DNb07,10,,
12743,DNge101,DNge101,9,,
12750,DNge136,DNge136,8,,
12752,DNge080,DNge080,9,,
12753,DNpe003,DNpe003,10,,
12762,DNp41,DNp41,10,,
12767,DNb02,DNb02,1,steering,Braun 2024?
12770,AN12B004,AN12B004,6,,
12771,DNge135,DNge135,7,,
12772,AN08B018,AN08B018,2,,
12775,DNg26,DNg26,7,terminate mating,Gautham 2024
12781,DNge104,DNge104,12,,
12787,DNge033,DNge033,0,,
12788,DNae004,DNae004,1,,
12794,DNg44,DNg44,7,,
12801,DNa05,DNa05,1,flight,"Cheong, Eichler, Stürner 2024"
12818,DNge002,DNge002,0,,
12821,DNg54,DNg54,9,,
12831,DNpe030,DNpe030,7,,
12843,DNpe049,DNpe049,7,,
12850,DNge070,DNge070,0,,
12860,DNg44,DNg44,7,,
12868,ANXXX027,ANXXX027,12,,
12869,DNge098,DNge098,9,,
12874,DNde001,DNde001,10,,
12885,DNpe020,DNpe020,10,,
12886,DNg54,DNg54,9,,
12894,DNge011,DNge011,9,antennal grooming?,Hampel 2015
12897,ANXXX120,ANXXX120,2,,
12914,AN19A038,AN19A038,6,,
12933,AN08B014,AN08B014,11,,
12941,DNge137,DNge137,7,,
12944,DNpe001,DNpe001,10,,
12976,AN05B007,AN05B007,9,,
12982,DNg91,DNg91,1,,
12995,DNde003,DNde003,11,,
12996,AN19B036,AN19B036,6,,
13006,DNge076,DNge076,9,,
13008,DNge140,DNge140,10,,
13022,DNge139,DNge139,8,,
13026,AN08B014,AN08B014,11,,
13030,DNge006,DNge006,1,,
13034,DNg95,DNg95,10,,
13041,ANXXX027,ANXXX027,12,,
13045,DNge086,DNge086,0,,
13047,DNge133,DNge133,4,,
13061,AN08B032,AN08B032,12,,
